"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NM_001009626",81170.6321945967,-0.346600502210391,0.114901461813795,-3.01705586218397,0.00255242770024863,0.0369957706375418
"NM_001009628",8017.1425402553,-0.669425234681317,0.119133394175614,-5.62107903529808,1.89768425269997e-08,2.03878928970766e-06
"NM_001009632",1780.89273698285,-0.670272114302434,0.202885201130946,-3.32781443158119,0.000875301499775235,0.0167748140422635
"NM_001009635",1201.50937049306,0.336057771808802,0.107304543400539,3.13188095551814,0.00173690286351058,0.0277498668720579
"NM_001009643",1769.83834885339,-0.457993680418859,0.143922252577398,-3.18397199644157,0.00145269065257198,0.0244389864667574
"NM_001009657",279.112284795168,0.431343803602393,0.126881742157155,3.40088170942725,0.000671688866868577,0.0137645078439418
"NM_001009683",268.349802005386,-0.66586849882252,0.214225117327755,-3.99050201457973,6.5933589051973e-05,0.00221500116038068
"NM_001010920",2335.42800714898,0.799366255959645,0.128971594116535,6.19445995178305,5.84852085073126e-10,8.53085939508937e-08
"NM_001010921",17991.1246416854,2.15056172143401,0.220503225733519,9.49507508120511,2.20052743576537e-21,1.40458371797e-18
"NM_001011559",947.034387651986,0.916943089435973,0.229956514206012,3.88857075833904,0.000100836273728971,0.00312621258923734
"NM_001011916",15.3070161135257,0.983447064681297,0.23221903902301,4.12213261355247,3.75380985948578e-05,0.00137175091412348
"NM_001011930",15.5740800394096,0.763584743799258,0.232217393885747,3.22466855660532,0.00126118588701596,0.0222161169805359
"NM_001011937",24.5076389295198,-0.83875137798886,0.232212258088204,-3.68317079962473,0.000230350705559996,0.00603752537688772
"NM_001011952",1834.44114534833,-0.389340747169091,0.0793053841468379,-4.90885734654764,9.16085820518623e-07,5.71290071175148e-05
"NM_001011961",126.53248680268,-0.589307239004778,0.224753195696525,-2.91414011426572,0.00356669784750954,0.0463079957385503
"NM_001011979",1997.92401364334,-0.273549323103501,0.0888826887830036,-3.07748482162316,0.00208755469520203,0.031915262999315
"NM_001012051",71.3290547258224,0.672734598898925,0.21505802193665,3.10735055505747,0.00188772402837413,0.0296865122201271
"NM_001012065",303.837535537585,0.410995693548536,0.114826701955327,3.58077988590426,0.000342570162454461,0.00827890608639946
"NM_001012080",2529.53263534967,-0.584294832970244,0.157451586491084,-3.7155789585864,0.000202738940974215,0.00549980062127802
"NM_001012082",714.903213996976,-0.431918837311095,0.126870523387441,-3.40442257249919,0.000663040944018158,0.013661244948177
"NM_001012102",69.8073494450251,0.545243006120246,0.181882389825654,2.99713254067015,0.00272532195277338,0.0387658749423924
"NM_001012103",243.25817125393,0.555325440205665,0.12267880590872,4.52930398096502,5.91783072179261e-06,0.000290562810688559
"NM_001012111",2549.90181511514,1.08773482952317,0.223276274485348,4.77693484792858,1.77987409874643e-06,0.000102187374843902
"NM_001012127",249.733619015008,0.687863871198982,0.220357824457395,3.08594033862463,0.00202909531525903,0.0313196490268502
"NM_001012148",1535.20202491385,-0.297439095106797,0.0996570201809802,-2.98443079358478,0.00284106462589134,0.0397785706523186
"NM_001012161",647.655925522138,0.287427583696485,0.0925744800941216,3.10533453800126,0.00190063925783615,0.0297706646324522
"NM_001012169",160.542550531678,-0.446493465988575,0.147615531690296,-3.01901982128799,0.00253593939413379,0.036837320436072
"NM_001012187",536.01717853669,-0.450587512690547,0.142994481087026,-3.1512426375611,0.00162577370025807,0.0264090874573358
"NM_001012238",875.696745297411,-0.524116326230968,0.105266653102878,-4.97754261615033,6.43966066118411e-07,4.15933082348267e-05
"NM_001012345",8157.19842604502,-0.520983064511095,0.157302216427641,-3.31599898605487,0.000913161601220267,0.0172926990136843
"NM_001013034",351.177804045971,0.371232617601747,0.12663966739771,2.93223323785251,0.00336533900165426,0.0446968096780299
"NM_001013049",515.545213692303,-0.462725256892369,0.157748442027171,-2.93461055695888,0.00333966555817493,0.0445193009481034
"NM_001013061",704.449619582325,0.330240188607183,0.0838012509104967,3.94140919419502,8.10043010645862e-05,0.0026207802482969
"NM_001013070",1398.98619644952,-0.647499274229947,0.173816796647588,-3.73376963330302,0.00018863504336052,0.00519512399874367
"NM_001013085",132.322776805238,1.35435919080633,0.224194415750429,5.90954200441415,3.43060195374123e-09,4.27878871264897e-07
"NM_001013098",3750.31430341202,-0.621262479643105,0.215573644127264,-2.91558568798591,0.00355021602687407,0.0462465715577558
"NM_001013112",1226.75925870122,0.510557820981278,0.144722437595647,3.52595804995445,0.000421953800772399,0.00963920145722379
"NM_001013124",855.12551723908,-0.533307307406282,0.156262937643177,-3.41535989508287,0.000636977888512869,0.0132853117390983
"NM_001013152",2872.48017414743,-0.485873188376661,0.11267725056599,-4.31255849516576,1.61376167938592e-05,0.000673497230116022
"NM_001013189",2216.24925352357,-0.518921128829676,0.1013549323099,-5.11976984406163,3.05908763695051e-07,2.15546493172403e-05
"NM_001013222",62.5487941732421,0.987726958802574,0.193501873499649,5.09063814165318,3.56860475911311e-07,2.45081836969217e-05
"NM_001013224",315.190631542825,-0.8272424570873,0.150144938049651,-5.50337752780302,3.72583385654696e-08,3.54640554187641e-06
"NM_001013243",101.312881149854,-0.866707651139706,0.229696248488714,-4.24235985218171,2.21181663900007e-05,0.000895538147380214
"NM_001013429",335.638932851522,-0.682277192760529,0.19792414034725,-3.46237404120282,0.000535432470862278,0.0115049064184685
"NM_001013880",550.497671628205,0.836896345570567,0.161196654323528,5.1840159329606,2.17158369695996e-07,1.60298331263351e-05
"NM_001013903",29.5610903816301,1.05134887981549,0.217887138381317,4.56725097315253,4.94162214717067e-06,0.000248247879254393
"NM_001013904",50974.6802859031,2.15231717455997,0.161363225485169,13.2735438494984,3.29616250526456e-40,5.10952276351797e-37
"NM_001013916",7506.50165314853,-0.355902719047637,0.12347469442509,-2.88307429854617,0.00393814541304499,0.0497494032602235
