"PROBEID","t","p","padj","SYMBOL"
"201141_at",17.6904632350853,1.61021950688683e-36,4.10874344173956e-35,"GPNMB"
"224694_at",17.6272849589875,2.10183321419122e-36,5.1901720176238e-35,"ANTXR1"
"213905_x_at",17.6175162256434,2.28790841933584e-36,5.47310592187995e-35,"BGN"
"228176_at",17.5926598486464,4.85557256089211e-35,9.17763159348866e-34,"S1PR3"
"209897_s_at",17.5781571571011,5.56158168983193e-35,1.03838799599179e-33,"SLIT2"
"222379_at",17.5297063439195,9.40823283887901e-30,8.946586631257e-29,"KCNE4"
"201431_s_at",17.4631537063472,4.37732410108439e-36,1.00025122369555e-34,"DPYSL3"
"218502_s_at",17.4205355268717,1.0576921832036e-35,2.28074187673904e-34,"TRPS1"
"204069_at",17.3842493414198,1.7617716316798e-32,2.21087899024736e-31,"MEIS1"
"209656_s_at",17.3642121402062,7.51408425009768e-36,1.64343756955708e-34,"TMEM47"
"203688_at",17.3390457514245,2.40003317337667e-35,4.89737182742169e-34,"PKD2"
"227376_at",17.3246731011092,1.88691832888575e-32,2.31374775476626e-31,"GLI3"
"226777_at",17.3190524344928,6.00906081800978e-34,9.48440423955977e-33,"ADAM12"
"227070_at",17.3072462578793,2.18346276000095e-35,4.51740741292088e-34,"GLT8D2"
"221276_s_at",17.3031363525451,7.97794238575332e-31,8.60157027647066e-30,"SYNC"
"229802_at",17.2655516974555,3.184957045076e-35,6.24184952081995e-34,"CCN4"
"212233_at",17.2636888532085,4.6090030126984e-33,6.30034251110826e-32,"MAP1B"
"226517_at",17.1994952800642,1.25791612366062e-34,2.26572892391107e-33,"BCAT1"
"213800_at",17.1492971777562,2.06041193321912e-33,2.91950565929147e-32,"CFH"
"221730_at",17.136824718873,2.45212806925854e-35,4.89737182742169e-34,"COL5A2"
"212526_at",17.0888236145543,2.84000770273284e-31,3.17376043276203e-30,"SPART"
"204894_s_at",17.0610086485774,5.88837289961999e-33,7.97796363656479e-32,"AOC3"
"219087_at",17.0585974203828,1.75243037746326e-34,3.04883057715484e-33,"ASPN"
"212764_at",17.0495348638173,9.10955366028078e-34,1.36732614253822e-32,"ZEB1"
"226769_at",17.045062624046,5.45585657634687e-34,8.70095460248651e-33,"FIBIN"
"207191_s_at",17.0108865710039,8.34424357031418e-34,1.26485513922287e-32,"ISLR"
"226425_at",16.9793693557724,8.19590593097411e-30,7.94172910146921e-29,"CLIP4"
"225021_at",16.9755791403148,5.05689255403278e-34,8.14958157918335e-33,"ZNF532"
"214511_x_at",16.9407793062747,6.06178556583824e-30,5.98747980728925e-29,"FCGR1B"
"219213_at",16.9047675310814,3.48737036925823e-30,3.58333156733849e-29,"JAM2"
"201792_at",16.8479414003765,1.0436821561082e-31,1.22913644692435e-30,"AEBP1"
"212464_s_at",16.8065668084658,1.24903228750469e-32,1.60694826232746e-31,"FN1"
"1555229_a_at",16.719735664507,4.06652002054465e-34,6.62323633133389e-33,"C1S"
"232458_at",16.7171634115539,1.34590006930258e-32,1.71714417175187e-31,"COL3A1"
"227399_at",16.6984160454424,5.17163356345824e-28,3.88126028708557e-27,"VGLL3"
"204749_at",16.6261584924806,7.55037969285249e-27,5.13761391544763e-26,"NAP1L3"
"209524_at",16.6224095533565,1.99223630278308e-33,2.85057362575785e-32,"HDGFL3"
"211959_at",16.5990923476438,8.41967740022427e-33,1.12091531302116e-31,"IGFBP5"
"221942_s_at",16.5862354403956,1.5009346298061e-32,1.8991164613497e-31,"GUCY1A1"
"225681_at",16.5321477926162,1.97094765330592e-33,2.85057362575785e-32,"CTHRC1"
"227705_at",16.5061229646436,9.20080233115758e-29,7.53284939518837e-28,"TCEAL7"
"212397_at",16.4918324356671,8.25958592637797e-34,1.26485513922287e-32,"RDX"
"204030_s_at",16.4898329927738,1.28131378353205e-29,1.17466551053148e-28,"IQCJ-SCHIP1|SCHIP1"
"204464_s_at",16.3771460626482,2.07855073065167e-33,2.91950565929147e-32,"EDNRA"
"215049_x_at",16.3405974806533,2.11482621241671e-31,2.41626785911193e-30,"CD163"
"208396_s_at",16.2831051187833,1.78232344616415e-26,1.16612700687065e-25,"PDE1A"
"203382_s_at",16.1446468680007,7.06406067614169e-30,6.88858400966429e-29,"APOE"
"219773_at",16.0984702071306,1.62201694896793e-26,1.06579740294845e-25,"NOX4"
"244741_s_at",16.0667883236431,3.56340186126227e-27,2.5140867509643e-26,"ZNF667-AS1"
"230741_at",16.0008347138642,9.9362483245561e-27,6.701496116694e-26,"P2RX7"
"244050_at",15.9805115302881,2.06126936585998e-32,2.50460587232669e-31,"HACD4"
"218718_at",15.8944526415389,1.88908209892738e-32,2.31374775476626e-31,"PDGFC"
"226069_at",15.8726582738303,3.18686466880022e-25,1.85078219172096e-24,"PRICKLE1"
"206026_s_at",15.6776644179379,1.30096878360775e-31,1.50892667250263e-30,"TNFAIP6"
"202555_s_at",15.6503961391636,3.89151452406679e-28,2.96413369967475e-27,"MYLK"
"217428_s_at",15.647919823038,2.18345720557716e-28,1.72313040295806e-27,"COL10A1"
"209596_at",15.624490194125,2.20601155953452e-31,2.50178051677581e-30,"MXRA5"
"1555778_a_at",15.6241174080988,1.97943706398541e-31,2.27858507139974e-30,"POSTN"
"226676_at",15.5034438235096,1.1862770107153e-30,1.25254489890008e-29,"ZNF521"
"205786_s_at",15.479866774385,2.54319791606326e-27,1.81099349278737e-26,"ITGAM"
"229554_at",15.4705774415409,1.21523770918193e-29,1.12080056190213e-28,"LUM"
"226311_at",15.4644883784606,2.5232923714497e-31,2.84055927991874e-30,"ADAMTS2"
"206101_at",15.4444807931517,1.29573932760313e-25,8.03148546785582e-25,"ECM2"
"203305_at",15.4377948061491,5.81219102595577e-28,4.34071437109184e-27,"F13A1"
"204955_at",15.4000159331087,2.14088721747009e-28,1.69828929012783e-27,"SRPX"
"211564_s_at",15.3816627524159,2.39906250958038e-28,1.88357164213721e-27,"PDLIM4"
"228423_at",15.3660742715501,5.62856200519715e-26,3.56087951651109e-25,"MAP9"
"204688_at",15.3651290410385,5.86495567346401e-31,6.3682603801939e-30,"SGCE"
"212489_at",15.3399465317238,4.28704205844224e-31,4.68818670819648e-30,"COL5A1"
"209687_at",15.2276280489548,1.16507469625492e-29,1.08104809694926e-28,"CXCL12"
