"PROBEID","t","p","padj","SYMBOL"
"236262_at",11.3155711425739,6.40344058615011e-18,2.14992709153417e-17,"MMRN2"
"201645_at",11.3044204670355,3.72177556597598e-20,1.47617574909566e-19,"TNC"
"203404_at",11.3018678788615,1.01518970161485e-20,4.21207434464047e-20,"ARMCX2"
"204793_at",11.284390818451,4.33363438513073e-18,1.46787483266264e-17,"GPRASP1"
"1557049_at",11.2827559153836,1.84696538248049e-18,6.3830790080759e-18,"BTBD19"
"207480_s_at",11.2542612478449,5.20117566052482e-21,2.18763734512733e-20,"MEIS2"
"222088_s_at",11.247056126861,1.95723903921051e-19,7.41716081443389e-19,"SLC2A14|SLC2A3"
"227239_at",11.2430203677045,6.09422024622937e-21,2.54230277846789e-20,"FAM126A"
"215617_at",11.2397523238803,1.1638506157537e-17,3.80738310410025e-17,"SPATS2L"
"202499_s_at",11.1485476422451,1.12641405007343e-19,4.31134977665607e-19,"SLC2A3"
"206715_at",11.1354976161122,1.4421214861255e-17,4.68766028717229e-17,"TFEC"
"219631_at",11.10436530444,1.71254180017333e-20,6.95464587815746e-20,"LRP12"
"210942_s_at",11.0497920023243,6.21067048822745e-17,1.93656548217439e-16,"ST3GAL6"
"219584_at",11.0434516029024,7.65359620660861e-18,2.53081118624574e-17,"PLA1A"
"209763_at",10.9779643153931,1.19351159497173e-16,3.66920934116811e-16,"CHRDL1"
"222162_s_at",10.9467626407093,4.31372232186516e-19,1.58757424874413e-18,"ADAMTS1"
"219935_at",10.9456701325075,7.12016310774478e-19,2.5469555415788e-18,"ADAMTS5"
"226435_at",10.9084158820416,6.12252621212453e-19,2.20555003076768e-18,"PAPLN"
"206070_s_at",10.8579420630488,2.18131966942955e-16,6.57401656278867e-16,"EPHA3"
"228186_s_at",10.8446881223715,1.70613347245845e-19,6.48161376261509e-19,"RSPO3"
"204154_at",10.8232061176547,4.24668268444076e-16,1.250321382669e-15,"CDO1"
"206638_at",10.8033501221521,8.26029003320197e-16,2.36383253099668e-15,"HTR2B"
"203153_at",10.8020349619582,2.71676528012697e-19,1.02195765205759e-18,"IFIT1"
"210004_at",10.7967314269482,1.48570571558545e-16,4.54923090112264e-16,"OLR1"
"219574_at",10.7791383988721,2.33077301490899e-17,7.44971500172372e-17,"MARCHF1"
"205404_at",10.7238084342069,3.93498215080308e-18,1.33579992746774e-17,"HSD11B1"
"205226_at",10.7227924843146,4.3635514823941e-18,1.4747455451535e-17,"PDGFRL"
"229560_at",10.7131907008909,3.92440444708338e-18,1.33516960188548e-17,"TLR8"
"228698_at",10.7013632707842,2.13212255757e-17,6.89718829925885e-17,"SOX7"
"238577_s_at",10.6879850795067,2.13538030950274e-17,6.89718829925885e-17,"TSHZ2"
"221933_at",10.6826837341135,1.5222159365343e-16,4.6517217541597e-16,"NLGN4X"
"232267_at",10.679505108968,6.11107116627879e-17,1.9093979501169e-16,"ADGRD1"
"203980_at",10.665824293982,6.16262234070342e-16,1.79372144555455e-15,"FABP4"
"217889_s_at",10.6537104211491,2.07860145691943e-19,7.85762674208308e-19,"CYBRD1"
"226701_at",10.5913468288901,5.64371851928994e-17,1.76698017444435e-16,"GJA5"
"224997_x_at",10.571150204773,1.10930464267795e-18,3.89528763288979e-18,"H19|MIR675"
"220014_at",10.5585623709588,1.17476720300617e-17,3.83490104009051e-17,"PRR16"
"208335_s_at",10.5525735451218,2.46804818564348e-16,7.36565647606269e-16,"ACKR1"
"205269_at",10.5506916147667,6.47084475432781e-19,2.32555476968917e-18,"LCP2"
"210146_x_at",10.5466582719695,2.86593963267183e-16,8.51990985945742e-16,"LILRB2"
"1554547_at",10.5391078551432,3.19472098135977e-16,9.4789105086469e-16,"FAM13C"
"214038_at",10.5252203659121,2.51506202647329e-17,8.02199992193875e-17,"CCL8"
"230836_at",10.5060233859287,2.84030611018886e-18,9.79393841148457e-18,"ST8SIA4"
"215870_s_at",10.4990616362946,7.54055210805913e-16,2.1659634666864e-15,"PLA2G5"
"209875_s_at",10.480409072372,5.38069944192767e-19,1.95209735677518e-18,"SPP1"
"228218_at",10.4557603515734,1.7104170674249e-16,5.1957312107689e-16,"LSAMP"
"1555756_a_at",10.4507362315614,5.6260958193205e-17,1.76507227446305e-16,"CLEC7A"
"236313_at",10.3957236638748,7.37938997580885e-19,2.6335305484763e-18,"CDKN2B"
"205357_s_at",10.3413366714834,4.38766211352613e-15,1.1826603337691e-14,"AGTR1"
"219179_at",10.3195964742069,1.19661604940231e-18,4.19226355065203e-18,"DACT1"
"242625_at",10.3157734149589,6.11377924471952e-18,2.05718593926716e-17,"RSAD2"
"219890_at",10.3049687328293,9.63271224068945e-16,2.74630957923567e-15,"CLEC5A"
"229635_at",10.2953253132681,2.7682777049854e-15,7.63645615555433e-15,"LINC01094"
"205499_at",10.2753739150133,1.63915036407138e-18,5.67769051446443e-18,"SRPX2"
"225987_at",10.2259477411867,1.07363399752522e-16,3.30731116742677e-16,"STEAP4"
"205518_s_at",10.2133874847133,1.91799670620755e-17,6.22129863814355e-17,"CMAHP"
"229578_at",10.2032335137633,2.76517089914851e-15,7.63645615555433e-15,"JPH2"
"201497_x_at",10.1971363903183,5.01006183997907e-16,1.4638176864519e-15,"MYH11"
"210302_s_at",10.1497566119443,3.01528860795254e-15,8.27313057128198e-15,"MAB21L2"
"224941_at",10.1377306604923,3.46183672233823e-17,1.09279835503089e-16,"PAPPA"
"206201_s_at",10.0905496946836,1.08008848695424e-15,3.06793223288859e-15,"MEOX2"
"219947_at",10.0245372434937,1.60487800286866e-16,4.89455821193609e-16,"CLEC4A"
"226847_at",10.0155163997969,2.24580050588554e-16,6.74180504806033e-16,"FST"
"223672_at",10.00414720944,3.80409256875704e-15,1.03263576644805e-14,"SGIP1"
"204337_at",9.90450763069238,2.45735394037386e-16,7.34806422404761e-16,"RGS4"
"229461_x_at",9.89997670089802,3.92891715587429e-15,1.06463224170682e-14,"NEGR1"
"227568_at",9.84036729510973,2.17151911332944e-16,6.57034735673393e-16,"HECTD2"
"229024_at",9.81934124930838,1.03511187745578e-14,2.71827836086587e-14,"RNF150"
"205139_s_at",9.80114955615073,1.63049921074322e-15,4.55528155410196e-15,"UST"
"213894_at",9.76809825879197,1.32067285020289e-14,3.43285251894844e-14,"THSD7A"
"202627_s_at",9.74264132431275,2.3790445177493e-16,7.1278222244113e-16,"SERPINE1"
"205122_at",9.71779528962109,8.9371672448972e-17,2.76420263675507e-16,"MSANTD3-TMEFF1|TMEFF1"
"227006_at",9.71257103718353,1.57239494257321e-14,4.05958964094364e-14,"PPP1R14A"
"204042_at",9.68980947189331,1.81133612842362e-16,5.49139725270606e-16,"WASF3"
"213909_at",9.68137595864657,8.3247297680991e-15,2.19744159913099e-14,"LRRC15"
"202992_at",9.65727736546172,1.19155804662096e-14,3.11536547819402e-14,"C7"
"220122_at",9.65055547551342,2.2044822108562e-16,6.63077065780125e-16,"MCTP1"
"228863_at",9.62914435196467,3.79446281603657e-16,1.12149084389035e-15,"PCDH17"
"204719_at",9.62403343330042,2.23670180744263e-15,6.22616448580849e-15,"ABCA8"
"223620_at",9.57476458042235,2.70478918660173e-16,8.05648296631762e-16,"GPR34"
"204606_at",9.57280641474803,5.22558462352541e-15,1.39622514111997e-14,"CCL21"
"227874_at",9.51317304938847,1.91185859243567e-14,4.90294054442045e-14,"EMCN"
"210176_at",9.46056409179373,2.96451404713706e-15,8.14842191412359e-15,"TLR1"
"204222_s_at",9.43917972307889,4.0723872434863e-16,1.2013150038107e-15,"GLIPR1"
"244313_at",9.35569495815599,8.32455737059674e-14,2.06228112206855e-13,"CR1"
"205237_at",9.35364148911691,4.67205142701904e-14,1.17260831717478e-13,"FCN1"
"212730_at",9.34576295311364,1.44460316203365e-13,3.51619624971943e-13,"SYNM"
"223614_at",9.3285004680216,7.76452337280486e-14,1.92665887905417e-13,"MMP16"
"202274_at",9.32369740927364,2.05902961799748e-14,5.25395724192357e-14,"ACTG2"
"222722_at",9.31125840098396,4.95103242594354e-14,1.23856709871235e-13,"OGN"
"211668_s_at",9.30351403683307,3.96471288960111e-15,1.07243382225783e-14,"PLAU"
"201525_at",9.22334550474915,5.45023953239256e-15,1.44866609793282e-14,"APOD"
"222717_at",9.2164664954441,1.9806547848759e-13,4.77540547345669e-13,"CAVIN2"
"219985_at",9.21307432386276,4.41758418890758e-14,1.11056180512603e-13,"HS3ST3A1"
"231721_at",9.18321529158655,1.19748617332419e-13,2.92867624817785e-13,"JAM3"
"227478_at",9.15676612991427,6.16563117099698e-15,1.63314555757723e-14,"SETBP1"
"204466_s_at",9.15524517874613,1.34073501670987e-15,3.78023077455398e-15,"SNCA"
"204035_at",9.14715988511476,3.79969231430299e-15,1.03263576644805e-14,"SCG2"
"235183_at",9.11744360205532,6.48636805611369e-13,1.51381547163263e-12,"FILIP1"
"205578_at",9.10289643292049,3.58772820576225e-15,9.79110852588592e-15,"ROR2"
"230493_at",9.08246752730084,1.40381113388708e-14,3.64277092539172e-14,"SHISA2"
"223395_at",9.04499248394144,2.46835485464167e-15,6.83372745471319e-15,"ABI3BP"
"210221_at",9.00913050895159,2.7506503084314e-13,6.58007128470074e-13,"CHRNA3"
"209395_at",8.98768226788227,2.39040636904954e-15,6.62991331705588e-15,"CHI3L1"
"218934_s_at",8.98518880324657,4.97327665831854e-13,1.16959855052007e-12,"HSPB7"
"204914_s_at",8.95180811778767,1.9956337826207e-13,4.80395490753505e-13,"SOX11"
"202988_s_at",8.89202947669564,5.29016555966838e-15,1.4110180264551e-14,"RGS1"
"229723_at",8.85602957718007,1.14255396038514e-14,2.99529128998228e-14,"TAGAP"
"205498_at",8.85526772645163,2.00094594901138e-14,5.11427086466848e-14,"GHR"
"209406_at",8.83118311190604,6.2167625846265e-15,1.643845167023e-14,"BAG2"
"204424_s_at",8.77061664467216,1.96575474256234e-12,4.42583898656315e-12,"LMO3"
