"","Probeset_ID","t_stats","p_value","adjust_p"
"203240_at.t","203240_at",-16.2191139075554,4.6907054739414e-29,3.98970560033571e-28
"203290_at.t","203290_at",2.7581540831404,0.006896111555375,0.0090938387521784
"203305_at.t","203305_at",15.4377948061491,5.81219102595577e-28,4.34071437109184e-27
"203382_s_at.t","203382_s_at",16.1446468680007,7.06406067614169e-30,6.88858400966429e-29
"203404_at.t","203404_at",11.3018678788615,1.01518970161485e-20,4.21207434464047e-20
"203423_at.t","203423_at",8.5119049219357,1.87422994511024e-13,4.54026273095534e-13
"203434_s_at.t","203434_s_at",3.12174060047602,0.0024891533310755,0.00337845190591896
"203485_at.t","203485_at",11.8112226393501,6.9328900493639e-20,2.72860017109926e-19
"203548_s_at.t","203548_s_at",2.66856982325181,0.00858561952284306,0.0112635676859235
"203561_at.t","203561_at",13.4763679430267,2.66469946291764e-25,1.57515632344668e-24
"203570_at.t","203570_at",14.752482556341,5.5387559877775e-29,4.65925022927877e-28
"203603_s_at.t","203603_s_at",17.0532704557211,1.17357837279775e-31,1.37156373187279e-30
"203645_s_at.t","203645_s_at",15.9137168605591,4.25461039463733e-31,4.68619317567608e-30
"203649_s_at.t","203649_s_at",-2.89115118133254,0.0045841896701149,0.0061029516390834
"203680_at.t","203680_at",4.58867602354998,1.02635932410511e-05,1.60999602992308e-05
"203688_at.t","203688_at",17.3390457514245,2.40003317337667e-35,4.89737182742169e-34
"203691_at.t","203691_at",-5.0207785930393,1.99916582288864e-06,3.25608816472607e-06
"203695_s_at.t","203695_s_at",19.4878868257712,3.82402610225171e-36,8.8705817614354e-35
"203766_s_at.t","203766_s_at",14.3702021097383,9.98905694660738e-23,4.7642511480548e-22
"203817_at.t","203817_at",18.3898305198074,8.75356296056299e-38,3.04584202105044e-36
"203860_at.t","203860_at",-6.59699775039192,1.07527958118717e-09,2.05524723944764e-09
"203874_s_at.t","203874_s_at",11.6046788032271,9.62008463190317e-22,4.29397946689322e-21
"203876_s_at.t","203876_s_at",7.78445321890206,2.40300972342624e-11,5.01911035002124e-11
"203881_s_at.t","203881_s_at",7.33001619203343,7.23415201931686e-11,1.47673156554322e-10
"203892_at.t","203892_at",-5.04161954983662,1.51324678491032e-06,2.4911621803201e-06
"203896_s_at.t","203896_s_at",-4.6032745062448,1.31402590363899e-05,2.0444854252757e-05
"203908_at.t","203908_at",-6.15985361176851,8.58651120823603e-09,1.58194328036214e-08
"203915_at.t","203915_at",6.09965791925148,1.54397067914094e-08,2.80073354237534e-08
"203951_at.t","203951_at",14.5269037837881,2.98501463192661e-23,1.51326404022504e-22
"203980_at.t","203980_at",10.665824293982,6.16262234070342e-16,1.79372144555455e-15
"204006_s_at.t","204006_s_at",13.6072832086753,2.25580999584671e-25,1.34908011860989e-24
"204007_at.t","204007_at",12.6301433437362,4.16265029874877e-23,2.08268549260927e-22
"204030_s_at.t","204030_s_at",16.4898329927738,1.28131378353205e-29,1.17466551053148e-28
"204035_at.t","204035_at",9.14715988511476,3.79969231430299e-15,1.03263576644805e-14
"204042_at.t","204042_at",9.68980947189331,1.81133612842362e-16,5.49139725270606e-16
"204051_s_at.t","204051_s_at",17.8830157214428,3.22081066064517e-35,6.24184952081995e-34
"204052_s_at.t","204052_s_at",15.1732936691068,1.77696523919835e-25,1.07957689730662e-24
"204069_at.t","204069_at",17.3842493414198,1.7617716316798e-32,2.21087899024736e-31
"204154_at.t","204154_at",10.8232061176547,4.24668268444076e-16,1.250321382669e-15
"204179_at.t","204179_at",-7.99458155549598,7.45693772545931e-13,1.7297835844967e-12
"204213_at.t","204213_at",-9.04966826683689,3.08180496951979e-15,8.44050699165438e-15
"204221_x_at.t","204221_x_at",8.37882339605294,6.98200637302818e-14,1.73812223692783e-13
"204222_s_at.t","204222_s_at",9.43917972307889,4.0723872434863e-16,1.2013150038107e-15
"204235_s_at.t","204235_s_at",12.6874085776966,3.22651369969283e-24,1.76421159793919e-23
"204237_at.t","204237_at",12.7433352972656,3.82619222780991e-24,2.0772696102046e-23
"204259_at.t","204259_at",2.91783630027423,0.00426603857880375,0.00570419656257515
"204268_at.t","204268_at",2.69275069636826,0.00840210464752499,0.0110322660509097
"204284_at.t","204284_at",14.4214267540848,3.38552842583687e-23,1.70501448024877e-22
"204298_s_at.t","204298_s_at",11.9308147080748,3.16803209089344e-20,1.26970081967483e-19
"204304_s_at.t","204304_s_at",-6.37728148327248,1.04204769283235e-08,1.90834332263915e-08
"204320_at.t","204320_at",13.2395296258618,5.07622433501517e-24,2.68916936225198e-23
"204337_at.t","204337_at",9.90450763069238,2.45735394037386e-16,7.34806422404761e-16
"204338_s_at.t","204338_s_at",6.38332629334391,9.07136775278852e-09,1.66926250354798e-08
"204359_at.t","204359_at",18.695298039816,1.47576862885338e-34,2.59701352962589e-33
"204364_s_at.t","204364_s_at",7.30754235784187,2.77885791509845e-10,5.46842091004591e-10
"204365_s_at.t","204365_s_at",6.17586838725088,3.66830647386975e-08,6.53804099126262e-08
"204416_x_at.t","204416_x_at",11.4963388425484,4.07771850460486e-19,1.50433422422893e-18
"204422_s_at.t","204422_s_at",6.28285807615293,1.43559339198352e-08,2.61032480181326e-08
"204424_s_at.t","204424_s_at",8.77061664467216,1.96575474256234e-12,4.42583898656315e-12
"204438_at.t","204438_at",15.1104999408829,8.60333545290621e-30,8.28409218767258e-29
"204439_at.t","204439_at",8.30408159356245,4.20572706260978e-13,9.92136846356792e-13
"204457_s_at.t","204457_s_at",24.2618708130683,4.43119620847574e-49,6.78416139517635e-46
"204463_s_at.t","204463_s_at",14.9350093619517,4.18848639525784e-29,3.59702074528717e-28
"204464_s_at.t","204464_s_at",16.3771460626482,2.07855073065167e-33,2.91950565929147e-32
"204466_s_at.t","204466_s_at",9.15524517874613,1.34073501670987e-15,3.78023077455398e-15
"204468_s_at.t","204468_s_at",12.481881133726,4.6525267858102e-21,1.97861625252095e-20
"204471_at.t","204471_at",8.26592851613237,1.05009779440856e-11,2.2453906749155e-11
"204527_at.t","204527_at",14.9013511528596,2.92147425875126e-26,1.8872477173621e-25
"204533_at.t","204533_at",6.6647854296705,8.8412624266211e-10,1.7004990923564e-09
"204557_s_at.t","204557_s_at",12.5060732787144,5.83145586181339e-19,2.11062858733719e-18
"204563_at.t","204563_at",7.82301781660857,3.70307846589743e-12,8.1574289658834e-12
"204584_at.t","204584_at",6.36168408504533,9.50784943431024e-09,1.74748109050768e-08
"204591_at.t","204591_at",5.50184381577814,2.68780108169317e-07,4.567173647139e-07
"204597_x_at.t","204597_x_at",8.01234489042023,7.89206862595966e-13,1.82795114468143e-12
"204602_at.t","204602_at",2.25563450395837,0.0265588294652421,0.033383881700563
"204606_at.t","204606_at",9.57280641474803,5.22558462352541e-15,1.39622514111997e-14
"204607_at.t","204607_at",-6.10673155940888,1.7827677445053e-08,3.23007978323978e-08
"204614_at.t","204614_at",2.56713400059563,0.0122929096675783,0.0159495294076799
"204619_s_at.t","204619_s_at",18.3280838069864,5.15842307918391e-38,2.02501172672578e-36
"204646_at.t","204646_at",13.1583541492982,8.81331659472552e-26,5.48503565305885e-25
"204671_s_at.t","204671_s_at",13.6286650199099,3.94668729363811e-24,2.13511598818373e-23
"204673_at.t","204673_at",-13.4069664246303,1.76587962083503e-24,9.79551340397981e-24
"204688_at.t","204688_at",15.3651290410385,5.86495567346401e-31,6.3682603801939e-30
"204705_x_at.t","204705_x_at",-4.01821373932816,0.000107884592733299,0.000159894783615374
"204714_s_at.t","204714_s_at",3.37365005439943,0.00100435470188661,0.00140170195860383
"204719_at.t","204719_at",9.62403343330042,2.23670180744263e-15,6.22616448580849e-15
"204733_at.t","204733_at",2.35983678234702,0.0202388518988397,0.0257356164926276
"204749_at.t","204749_at",16.6261584924806,7.55037969285249e-27,5.13761391544763e-26
"204774_at.t","204774_at",12.4827306194519,9.04192610923049e-23,4.35320404818613e-22
"204776_at.t","204776_at",12.4265399096142,2.92350075566268e-19,1.09693725264488e-18
