"Probeset_ID","bio_t_stats","bio_pvalue","bio_adjustp"
"223213_s_at",-0.367346318594819,0.713968169173374,0.761972222664695
"223214_s_at",0.116147062647737,0.907719626743273,0.926600577378534
"223216_x_at",-1.59832732840994,0.112791649459785,0.154326364894501
"223217_s_at",-1.50181006581544,0.135901474163167,0.182125826246317
"223218_s_at",-2.18336549664074,0.0310033353509663,0.0482779119010729
"223220_s_at",4.66461739660703,7.48578071895975e-06,2.10995069773951e-05
"223221_at",-5.30559306469709,4.92624919871925e-07,1.62372524067456e-06
"223223_at",-5.58514523723857,1.42275668185354e-07,5.00887868835066e-07
"223225_s_at",-3.49163551423654,0.000682871498618381,0.00144140073507198
"223229_at",-4.70412345212158,6.561607260882e-06,1.86300632372314e-05
"223231_at",-0.605342754072774,0.546181063840996,0.608271162516781
"223232_s_at",-2.72065185884107,0.0077079607715809,0.0135128934711369
"223233_s_at",-3.04130256669527,0.00301555334313262,0.00568643011251224
"223234_at",2.46983501816533,0.0148061736396732,0.024655228262005
"223235_s_at",6.10877021666115,1.11263516184305e-08,4.43680794288042e-08
"223236_at",3.20594050782369,0.00171591537194494,0.00337952953875058
"223239_at",-11.1022263125173,2.75875054340401e-19,3.76277074996564e-18
"223241_at",1.47373062080166,0.143260499946922,0.19073679605962
"223243_s_at",-4.37192897133922,2.49121521910051e-05,6.50619158265588e-05
"223245_at",-8.02122858839056,2.96722057860426e-12,1.76779318989608e-11
"223246_s_at",-6.83178756761048,4.57197753658189e-10,2.14206125792483e-09
"223249_at",-8.69536429622513,3.33007426397376e-14,2.48402076410318e-13
"223250_at",5.39188935599577,3.13052023349608e-07,1.05907739487472e-06
"223251_s_at",3.58520923737634,0.000500910798229849,0.00108357158026901
"223253_at",5.28250689125851,5.58537333996482e-07,1.82931298323494e-06
"223254_s_at",-1.54554627924926,0.124935510942002,0.16909581983667
"223255_at",-2.36835335775293,0.0195311597673682,0.0317593819515934
"223256_at",-3.84923242840307,0.000189006459987296,0.000435205966070228
"223257_at",-1.56354430359471,0.12045365728503,0.163600921104943
"223258_s_at",-2.68325179319645,0.00831153057141486,0.0144874919749918
"223261_at",3.64809864350511,0.000386740384579391,0.000849273560472557
"223263_s_at",1.16464611175151,0.246442778708262,0.306950013027686
"223266_at",-5.44623296675599,3.06818347802982e-07,1.03912184706893e-06
"223267_at",-4.99941487488242,1.98517362331923e-06,6.02113681800012e-06
"223268_at",-4.42427760536255,2.09625414793935e-05,5.54283193968345e-05
